long,lat,boron,nitrogen,phos,potas,pH,zinc,clay,OM,Sand,Silt,Rainfall,Temp,Elevation,Slope,nearest_rainfall,Water,Road,LULC_Code
83.91989,28.57758,0.6301175,0.2845231,156.6973572,443.7813416,6.394516,3.2519362,14.0441132,4.4318624,51.5095291,36.1978493,2039.280029,-6.0651302,5121,29.635107,204.8636932,1088.696655,5740.984375,2
83.92708,28.57758,0.6327213,0.2861005,156.0171356,446.0414124,6.3906398,3.2166567,14.0353298,4.4337802,51.513855,36.1393242,2011.849976,-8.4418097,5566,14.2971611,197.2414551,1327.944336,5948.856934,3
83.93428,28.57758,0.635284,0.2877412,155.3034668,448.2008972,6.3869672,3.1849487,14.0256853,4.4356637,51.5166893,36.0811958,1982.77002,-4.9098701,5148,23.3666611,150.9453888,850.1292725,6220.136719,2
83.94147,28.57758,0.6377348,0.2894538,154.5389252,450.2236938,6.3835478,3.1562903,14.0144405,4.4377174,51.5210419,36.0230141,1951.540039,-3.9636099,5067,23.5661354,149.9816284,480.9057312,6541.719727,2
83.94866,28.57758,0.6400623,0.2912341,153.7075958,452.0978088,6.3804569,3.1305623,14.0010328,4.4400911,51.52771,35.9660339,1920.449951,-0.0810546,5097,36.0511208,159.0573425,0,6931.29834,9
83.95586,28.57758,0.6422829,0.2930554,152.811615,453.8050842,6.3776898,3.1078079,13.9850187,4.4426394,51.536602,35.9108772,1887.449951,-6.2677102,5151,28.3380432,200.9734955,510.0775452,7341.729981,2
83.96305,28.57758,0.6444306,0.2948449,151.882782,455.3586731,6.3752241,3.0882809,13.9668875,4.4449358,51.5482712,35.8586044,1853.709961,-2.16172,5467,60.0277596,163.4070129,1360.206787,7834.136719,3
83.97024,28.57758,0.6465337,0.29657,150.9219055,456.7289734,6.3730702,3.0720472,13.945961,4.446806,51.5630798,35.8099747,1820.810059,-7.8202801,5603,57.0726166,190.3327026,2040.310181,8338.111328,9
83.97744,28.57758,0.6486271,0.2981983,149.928299,457.8743591,6.3712721,3.0592277,13.921381,4.4480801,51.5823288,35.7655678,1790.449951,-17.7875004,6138,46.0293503,270.6958618,2720.413574,8870.31543,2
83.98463,28.57758,0.6507578,0.299695,148.9087219,458.7466125,6.3699389,3.0500817,13.8924541,4.4485602,51.6095657,35.7253189,1760.439941,-12.3690004,6929,54.4463959,163.0867767,3400.51709,9422.34082,2
